source,target
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
3,703
3,826
3,1097
3,1287
3,1591
3,1895
3,1896
3,1897
3,1898
3,1899
4,144
4,258
4,491
4,1021
4,1418
4,1669
4,1900
4,1901
4,1902
4,1903
5,121
5,127
5,128
5,179
5,247
5,249
5,264
5,353
5,424
5,426
7,145
7,176
7,177
7,353
7,753
7,754
7,762
7,2064
7,3002
8,520
8,665
8,852
8,1394
8,1786
8,1842
8,1904
8,1905
8,1906
8,1907
9,124
9,147
9,177
9,246
9,247
9,248
9,249
9,250
9,251
9,252
11,12
11,13
11,14
11,15
11,16
11,17
11,18
11,19
11,20
11,21
13,2074
14,809
15,3
15,123
15,129
15,143
15,251
15,264
15,367
15,426
15,427
15,718
17,1050
17,2254
17,2761
17,3147
17,3169
17,3619
17,3893
17,4408
